# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Aluno\Desktop\RELOGAO\Pin Planner.csv
# Generated on: Thu Jul 26 13:57:10 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
alarme,Input,PIN_AC13,8,B8_N0,PIN_AC13,,,,
barulhinho,Output,PIN_D25,5,B5_N0,PIN_D25,,,,
clock,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
comeco,Input,PIN_G26,5,B5_N0,PIN_G26,,,,
DATA_BUS[7],Bidir,PIN_H3,2,B2_N1,PIN_H3,,,,
DATA_BUS[6],Bidir,PIN_H4,2,B2_N1,PIN_H4,,,,
DATA_BUS[5],Bidir,PIN_J3,2,B2_N1,PIN_J3,,,,
DATA_BUS[4],Bidir,PIN_J4,2,B2_N1,PIN_J4,,,,
DATA_BUS[3],Bidir,PIN_H2,2,B2_N1,PIN_H2,,,,
DATA_BUS[2],Bidir,PIN_H1,2,B2_N1,PIN_H1,,,,
DATA_BUS[1],Bidir,PIN_J2,2,B2_N1,PIN_J2,,,,
DATA_BUS[0],Bidir,PIN_J1,2,B2_N1,PIN_J1,,,,
GMT[3],Input,PIN_AE14,7,B7_N1,PIN_AE14,,,,
GMT[2],Input,PIN_P25,6,B6_N0,PIN_P25,,,,
GMT[1],Input,PIN_N26,5,B5_N1,PIN_N26,,,,
GMT[0],Input,PIN_N25,5,B5_N1,PIN_N25,,,,
HorAla,Input,PIN_U3,1,B1_N0,PIN_U3,,,,
LCD_BLON,Output,PIN_K2,2,B2_N1,PIN_K2,,,,
LCD_E,Output,PIN_K3,2,B2_N1,PIN_K3,,,,
LCD_ON,Output,PIN_L4,2,B2_N1,PIN_L4,,,,
LCD_RS,Output,PIN_K1,2,B2_N1,PIN_K1,,,,
LCD_RW,Output,PIN_K4,2,B2_N1,PIN_K4,,,,
ledAlarmeS,Output,PIN_AF22,7,B7_N0,PIN_AF22,,,,
MinAla,Input,PIN_T7,1,B1_N0,PIN_T7,,,,
para,Input,PIN_P23,6,B6_N0,PIN_P23,,,,
piscaLed[17],Output,PIN_AE23,7,B7_N0,PIN_AE23,,,,
piscaLed[16],Output,PIN_AF23,7,B7_N0,PIN_AF23,,,,
piscaLed[15],Output,PIN_AB21,7,B7_N0,PIN_AB21,,,,
piscaLed[14],Output,PIN_AC22,7,B7_N0,PIN_AC22,,,,
piscaLed[13],Output,PIN_AD22,7,B7_N0,PIN_AD22,,,,
piscaLed[12],Output,PIN_AD23,7,B7_N0,PIN_AD23,,,,
piscaLed[11],Output,PIN_AD21,7,B7_N0,PIN_AD21,,,,
piscaLed[10],Output,PIN_AC21,7,B7_N0,PIN_AC21,,,,
piscaLed[9],Output,PIN_AA14,7,B7_N1,PIN_AA14,,,,
piscaLed[8],Output,PIN_Y13,7,B7_N1,PIN_Y13,,,,
piscaLed[7],Output,PIN_AA13,7,B7_N1,PIN_AA13,,,,
piscaLed[6],Output,PIN_AC14,7,B7_N1,PIN_AC14,,,,
piscaLed[5],Output,PIN_AD15,7,B7_N1,PIN_AD15,,,,
piscaLed[4],Output,PIN_AE15,7,B7_N1,PIN_AE15,,,,
piscaLed[3],Output,PIN_AF13,8,B8_N0,PIN_AF13,,,,
piscaLed[2],Output,PIN_AE13,8,B8_N0,PIN_AE13,,,,
piscaLed[1],Output,PIN_AE12,8,B8_N0,PIN_AE12,,,,
piscaLed[0],Output,PIN_AD12,8,B8_N0,PIN_AD12,,,,
pushAla,Input,PIN_N23,5,B5_N1,PIN_N23,,,,
reset,Input,PIN_W26,6,B6_N1,PIN_W26,,,,
Saida[55],Output,PIN_AF10,8,B8_N0,PIN_AF10,,,,
Saida[54],Output,PIN_AB12,8,B8_N0,PIN_AB12,,,,
Saida[53],Output,PIN_AC12,8,B8_N0,PIN_AC12,,,,
Saida[52],Output,PIN_AD11,8,B8_N0,PIN_AD11,,,,
Saida[51],Output,PIN_AE11,8,B8_N0,PIN_AE11,,,,
Saida[50],Output,PIN_V14,8,B8_N0,PIN_V14,,,,
Saida[49],Output,PIN_V13,8,B8_N0,PIN_V13,,,,
Saida[48],Output,PIN_V20,6,B6_N1,PIN_V20,,,,
Saida[47],Output,PIN_V21,6,B6_N1,PIN_V21,,,,
Saida[46],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
Saida[45],Output,PIN_Y22,6,B6_N1,PIN_Y22,,,,
Saida[44],Output,PIN_AA24,6,B6_N1,PIN_AA24,,,,
Saida[43],Output,PIN_AA23,6,B6_N1,PIN_AA23,,,,
Saida[42],Output,PIN_AB24,6,B6_N1,PIN_AB24,,,,
Saida[41],Output,PIN_L3,2,B2_N1,PIN_L3,,,,
Saida[40],Output,PIN_L2,2,B2_N1,PIN_L2,,,,
Saida[39],Output,PIN_L9,2,B2_N1,PIN_L9,,,,
Saida[38],Output,PIN_L6,2,B2_N1,PIN_L6,,,,
Saida[37],Output,PIN_L7,2,B2_N1,PIN_L7,,,,
Saida[36],Output,PIN_P9,2,B2_N1,PIN_P9,,,,
Saida[35],Output,PIN_N9,2,B2_N1,PIN_N9,,,,
Saida[34],Output,PIN_R2,1,B1_N0,PIN_R2,,,,
Saida[33],Output,PIN_P4,1,B1_N0,PIN_P4,,,,
Saida[32],Output,PIN_P3,1,B1_N0,PIN_P3,,,,
Saida[31],Output,PIN_M2,2,B2_N1,PIN_M2,,,,
Saida[30],Output,PIN_M3,2,B2_N1,PIN_M3,,,,
Saida[29],Output,PIN_M5,2,B2_N1,PIN_M5,,,,
Saida[28],Output,PIN_M4,2,B2_N1,PIN_M4,,,,
Saida[27],Output,PIN_T2,1,B1_N0,PIN_T2,,,,
